phase,hop_count,distance,seq_len,compiled,elapsed_s,loss,peak_host_gb
train,5,45,287,False,3.417516303015873,9.889286041259766,6.3905487060546875
eval1,5,45,287,,68.24346451007295,0.0,6.424072265625
eval1,4,45,239,,55.77751506003551,0.0,6.484584808349609
eval1,3,45,191,,46.629101697937585,0.0,6.5454864501953125
eval1,2,45,143,,35.26602855697274,0.0,6.611278533935547
eval1,5,21,143,,1.8878109559882432,0.0,6.611698150634766
eval1,4,21,119,,29.35999967204407,0.0,6.672443389892578
eval1,1,45,95,,24.086013338062912,0.0,6.733325958251953
eval1,3,21,95,,1.189685933990404,0.0,6.7335968017578125
eval1,2,21,71,,18.91682118701283,0.0,6.794223785400391
eval1,5,9,71,,0.8574497930239886,0.0,6.794635772705078
eval1,4,9,59,,16.977071844041348,0.0,6.855701446533203
eval1,1,21,47,,13.928880961961113,0.0,6.916584014892578
eval1,3,9,47,,0.5590837190393358,0.0,6.916816711425781
eval1,2,9,35,,12.787651052000001,0.0,6.977352142333984
eval1,5,3,35,,0.41493357601575553,0.0,6.977752685546875
eval1,4,3,29,,11.198409676086158,0.0,7.038417816162109
eval1,1,9,23,,9.743756965966895,0.0,7.099609375
eval1,3,3,23,,0.2701274920254946,0.0,7.099922180175781
eval1,2,3,17,,8.413491602055728,0.0,7.161182403564453
eval1,5,0,17,,0.19085338909644634,0.0,7.161495208740234
eval1,4,0,14,,7.589942467981018,0.0,7.222114562988281
eval1,1,3,11,,6.142573039978743,0.0,7.283100128173828
eval1,3,0,11,,0.15437822695821524,0.0,7.2833251953125
eval1,2,0,8,,5.9057184850098565,0.0,7.344005584716797
eval1,1,0,5,,5.82114412705414,0.0,7.406959533691406
eval2,5,45,287,,4.583550252951682,0.0,7.407939910888672
eval2,4,45,239,,3.5759621700271964,0.0,7.4079437255859375
eval2,3,45,191,,2.672905098996125,0.0,7.407958984375
eval2,2,45,143,,1.8760206679580733,0.0,7.407958984375
eval2,5,21,143,,1.8877869109855965,0.0,7.407978057861328
eval2,4,21,119,,1.5205011799698696,0.0,7.407985687255859
eval2,1,45,95,,1.1813248990802094,0.0,7.407985687255859
eval2,3,21,95,,1.1844474689569324,0.0,7.407989501953125
eval2,2,21,71,,0.8531737959710881,0.0,7.407997131347656
eval2,5,9,71,,0.8573993110330775,0.0,7.4080047607421875
eval2,4,9,59,,0.7268943300005049,0.0,7.408012390136719
eval2,1,21,47,,0.5724926060065627,0.0,7.408012390136719
eval2,3,9,47,,0.5810268500354141,0.0,7.408012390136719
eval2,2,9,35,,0.4233185899211094,0.0,7.408012390136719
eval2,5,3,35,,0.4354978488991037,0.0,7.408016204833984
eval2,4,3,29,,0.36245405196677893,0.0,7.408031463623047
eval2,1,9,23,,0.2866477210773155,0.0,7.408046722412109
eval2,3,3,23,,0.2895864959573373,0.0,7.408069610595703
eval2,2,3,17,,0.21986241801641881,0.0,7.4080963134765625
eval2,5,0,17,,0.21175755199510604,0.0,7.408111572265625
eval2,4,0,14,,0.17714176105801016,0.0,7.408134460449219
eval2,1,3,11,,0.17671120108570904,0.0,7.40814208984375
eval2,3,0,11,,0.15639800194185227,0.0,7.408164978027344
eval2,2,0,8,,0.12073956895619631,0.0,7.408180236816406
eval2,1,0,5,,0.10662177694030106,0.0,7.408206939697266
