phase,hop_count,distance,seq_len,compiled,elapsed_s,loss,sys_mem_gb
train,5,21,143,False,3.261656524031423,10.424686431884766,103.93219375610352
train,5,21,143,False,3.2622161069884896,10.435897827148438,103.92052841186523
train,5,21,143,False,3.724008535966277,10.420310020446777,103.90389633178711
train,5,45,287,True,39.796039446024224,10.014270782470703,104.21302032470703
train,5,45,287,False,6.042222713935189,9.801475524902344,104.19433212280273
train,5,45,287,False,6.006833101040684,9.886625289916992,104.1829833984375
train,5,45,287,False,6.036458659917116,9.866695404052734,104.1731185913086
eval1,5,45,287,,74.62060822197236,0.0,104.15485763549805
eval1,4,45,239,,61.423617194988765,0.0,104.18363571166992
eval1,3,45,191,,48.44679901609197,0.0,104.32551574707031
eval1,2,45,143,,39.56862130202353,0.0,104.5008773803711
eval1,5,21,143,,3.765889973961748,0.0,104.56669616699219
eval1,4,21,119,,33.833061235025525,0.0,104.60923767089844
eval1,1,45,95,,28.066847463021986,0.0,104.70184326171875
eval1,3,21,95,,2.933136930107139,0.0,104.8968276977539
eval1,2,21,71,,23.738845632062294,0.0,104.80190658569336
eval1,5,9,71,,2.7672188160941005,0.0,105.01284408569336
eval1,4,9,59,,21.04915710503701,0.0,105.0361442565918
eval1,1,21,47,,18.406567451078445,0.0,105.15674591064453
eval1,3,9,47,,2.3372879939852282,0.0,105.27422714233398
eval1,2,9,35,,16.440266045043245,0.0,105.28867721557617
eval1,5,3,35,,2.2449892790755257,0.0,105.4255142211914
eval1,4,3,29,,14.88542113499716,0.0,105.40873336791992
eval1,1,9,23,,13.33502329303883,0.0,105.56010055541992
eval1,3,3,23,,1.9376851589186117,0.0,105.6515884399414
eval1,2,3,17,,11.731740602990612,0.0,105.68107223510742
eval1,5,0,17,,1.8505150420824066,0.0,105.79853057861328
eval1,4,0,14,,10.841320798033848,0.0,105.80284118652344
eval1,1,3,11,,9.813094486948103,0.0,105.91284942626953
eval1,3,0,11,,1.7529567889869213,0.0,106.04157257080078
eval1,2,0,8,,9.49715135700535,0.0,106.003662109375
eval1,1,0,5,,8.806656796019524,0.0,106.15790939331055
eval2,5,45,287,,6.2480968330055475,0.0,106.24645233154297
eval2,4,45,239,,5.537937852088362,0.0,106.27660751342773
eval2,3,45,191,,4.621813470963389,0.0,106.29681777954102
eval2,2,45,143,,3.975363282021135,0.0,106.32769393920898
eval2,5,21,143,,3.938677840982564,0.0,106.3533935546875
eval2,4,21,119,,3.566304643987678,0.0,106.39092254638672
eval2,1,45,95,,3.091895545949228,0.0,106.42137908935547
eval2,3,21,95,,3.3045012740185484,0.0,106.45642471313477
eval2,2,21,71,,2.879296900006011,0.0,106.47138214111328
eval2,5,9,71,,2.9934567640302703,0.0,106.49037170410156
eval2,4,9,59,,2.5667011860059574,0.0,106.5071907043457
eval2,1,21,47,,2.4483254940714687,0.0,106.54223251342773
eval2,3,9,47,,2.4326251370366663,0.0,106.57142639160156
eval2,2,9,35,,2.3422044289764017,0.0,106.59860610961914
eval2,5,3,35,,2.324234366067685,0.0,106.6490249633789
eval2,4,3,29,,1.934768941020593,0.0,106.67992782592773
eval2,1,9,23,,2.014769979985431,0.0,106.70366668701172
eval2,3,3,23,,1.9526304450118914,0.0,106.75569152832031
eval2,2,3,17,,1.8944167930167168,0.0,106.75835800170898
eval2,5,0,17,,1.8626443389803171,0.0,106.7611083984375
eval2,4,0,14,,1.924245121073909,0.0,106.8097038269043
eval2,1,3,11,,1.8285745370667428,0.0,106.82149124145508
eval2,3,0,11,,1.8875904739834368,0.0,106.84773254394531
eval2,2,0,8,,1.8092056999448687,0.0,106.89044189453125
eval2,1,0,5,,1.7206162209622562,0.0,106.91565704345703
