step,hop_count,distance,seq_len,compiled,elapsed_s,loss
106,5,0,17,False,0.3207691280404106,15.904363632202148
107,2,3,17,False,0.3204206369118765,15.236923217773438
108,1,9,23,False,0.40990549698472023,13.354299545288086
109,4,21,119,False,1.5540995199698955,11.052412986755371
110,4,3,29,False,0.4574616040335968,14.453758239746094
111,3,9,47,False,0.6776433739578351,12.241901397705078
112,4,45,239,False,3.12792866199743,10.164334297180176
113,1,9,23,False,0.38779588299803436,14.336962699890137
114,2,0,8,False,0.2087211289908737,16.39057159423828
115,5,45,287,False,3.7728988679591566,10.006080627441406
116,2,3,17,False,0.32130154501646757,15.346503257751465
117,5,21,143,False,1.8805273299803957,10.745498657226562
118,4,3,29,False,0.46925299905706197,14.707777976989746
119,2,0,8,False,0.23243900097440928,15.946088790893555
120,2,9,35,False,0.5473153189523146,12.39350414276123
121,3,3,23,False,0.37671841005794704,14.643387794494629
122,2,9,35,False,0.5276897919829935,12.453819274902344
123,5,21,143,False,1.8540373629657552,10.735323905944824
124,5,3,35,False,0.5187883480684832,14.023677825927734
125,3,3,23,False,0.37432330707088113,14.367934226989746
126,5,0,17,False,0.3136423280229792,15.6613130569458
127,4,45,239,False,3.105526329949498,10.085041046142578
128,3,9,47,False,0.6744105310644954,12.152791023254395
129,2,3,17,False,0.31775982305407524,14.711429595947266
130,4,21,119,False,1.5302035280037671,10.668478965759277
131,2,3,17,False,0.3160823079524562,14.666983604431152
132,5,21,143,False,1.8637348650954664,10.630470275878906
133,5,9,71,False,0.9516924639465287,11.832865715026855
134,5,0,17,False,0.31695657002273947,15.55364990234375
135,4,0,14,False,0.2774695309344679,15.368851661682129
136,5,0,17,False,0.31590140296611935,15.385826110839844
137,4,45,239,False,3.1056231759721413,10.550308227539062
138,5,9,71,False,0.9465750550152734,12.259613037109375
139,5,45,287,False,3.729389362037182,10.035895347595215
140,2,0,8,False,0.21301040495745838,15.436042785644531
141,3,45,191,False,2.6148640420287848,10.053314208984375
142,1,0,5,False,0.17921528092119843,15.00573444366455
143,1,45,95,False,1.2577273920178413,10.228963851928711
144,4,21,119,False,1.5286371159600094,10.749732971191406
145,5,21,143,False,1.864851777907461,10.545848846435547
146,1,9,23,False,0.3880043859826401,13.052774429321289
147,1,9,23,False,0.38817248202394694,12.977644920349121
148,3,3,23,False,0.3799610109999776,14.484817504882812
149,4,21,119,False,1.528975055902265,10.588957786560059
150,5,9,71,False,0.9476085749920458,11.56153678894043
